Bean_Type,Roast_Level,Grind_Size,Brewing_Method,Water_Temp_C,Brew_Time_sec,Coffee_Water_Ratio,Acidity_Pref,Bitterness_Pref,Flavor_Score
Blend,Medium,Medium,French Press,86.92260611085554,301.18201277842456,0.056,0,1,4.65
Blend,Light,Coarse,Pour-over,87.0354299844027,272.92682335847655,0.061,1,2,5.43
Robusta,Light,Coarse,French Press,90.99264590212961,306.7608610115757,0.059,3,2,4.63
Blend,Medium,Medium,Cold Brew,91.181829290757,132.12453428233715,0.07,0,4,4.23
Blend,Medium,Fine,Pour-over,97.54686828483604,285.0626011819103,0.056,4,0,5.56
Blend,Light,Fine,Cold Brew,88.680422273775,342.9343921299944,0.057,2,2,4.81
Blend,Light,Coarse,Cold Brew,90.29851049619381,285.1555497218763,0.063,0,4,4.63
Blend,Dark,Fine,French Press,90.81625304529021,173.97057122205754,0.067,1,1,5.06
Blend,Medium,Coarse,Cold Brew,87.39596455405173,351.84130833341106,0.063,2,3,4.82
Blend,Dark,Medium,French Press,91.23553619488291,234.00488132950153,0.06,5,1,5.89
Robusta,Dark,Fine,Cold Brew,90.91432708630099,237.2164070834796,0.058,1,4,4.55
Arabica,Medium,Fine,Pour-over,85.47702930774005,209.17911156663587,0.064,5,0,6.03
Robusta,Medium,Medium,Pour-over,90.42643920116068,259.5749824491167,0.066,1,2,6.31
Robusta,Medium,Medium,Cold Brew,89.1787586762963,249.38608020620345,0.062,4,5,5.12
Blend,Dark,Coarse,Pour-over,90.02830004564751,202.50577271106715,0.07,1,0,4.46
Robusta,Light,Medium,Pour-over,88.24665927084409,276.961080768276,0.069,3,2,5.48
Arabica,Light,Coarse,Cold Brew,89.88696892837172,183.66154814545763,0.065,3,3,5.12
Blend,Medium,Fine,Cold Brew,97.2643825459531,156.72282368465113,0.06,3,1,6.48
Arabica,Medium,Coarse,Espresso,90.36524273957315,255.96544457408282,0.069,2,5,5.62
Robusta,Dark,Fine,Espresso,91.63566008154699,331.13914912753626,0.067,1,4,2.4
Robusta,Dark,Fine,French Press,87.92495684214154,221.22244346361816,0.066,5,3,4.83
Robusta,Medium,Medium,Pour-over,95.4542761233942,244.8258890397918,0.068,0,5,5.41
Arabica,Light,Fine,Pour-over,91.55391072766334,212.83032333146244,0.063,3,4,7.64
Robusta,Medium,Coarse,French Press,96.71148390578341,199.84968433746516,0.07,1,4,4.29
Blend,Dark,Coarse,Cold Brew,93.15084186145032,145.2111436206221,0.056,3,5,3.55
Blend,Dark,Medium,French Press,92.59567508868888,182.62540131364617,0.062,2,3,5.87
Robusta,Dark,Medium,Cold Brew,89.072380241068,282.1456718643136,0.065,1,5,3.43
Robusta,Dark,Coarse,Espresso,88.64265521591987,251.9104100367359,0.058,3,2,4.38
Arabica,Dark,Fine,Cold Brew,93.12375532835293,198.04686663673294,0.063,0,0,4.53
Blend,Light,Coarse,French Press,86.65832995036855,270.7193307877828,0.063,2,2,6.35
Blend,Light,Medium,Espresso,91.07664314996056,213.64406312095187,0.068,0,4,5.7
Blend,Light,Medium,Espresso,95.03042438128585,205.25571242937582,0.071,2,4,5.75
Arabica,Dark,Coarse,Espresso,94.41440953620142,277.21013383814164,0.066,0,1,4.72
Robusta,Medium,Medium,Cold Brew,91.82628527798664,272.7393893855416,0.056,4,0,4.96
Blend,Dark,Fine,French Press,91.42166063828418,233.83853136133072,0.062,4,1,6.51
Robusta,Medium,Coarse,Espresso,85.0,293.91423125316146,0.061,3,3,5.93
Robusta,Light,Fine,Pour-over,95.05666098566745,237.99523297298998,0.064,1,3,5.87
Blend,Medium,Coarse,Espresso,92.95344519688742,321.6958569085629,0.067,0,4,5.1
Robusta,Dark,Fine,French Press,87.95160928572344,263.4201384343432,0.056,1,1,4.45
Blend,Medium,Coarse,French Press,92.14105163937124,288.9268380236583,0.062,4,3,5.5
Robusta,Dark,Coarse,Cold Brew,94.759482530443,252.55447853880537,0.071,1,5,2.12
Robusta,Medium,Fine,French Press,86.72420300001755,205.09477490515957,0.057,5,5,4.56
Robusta,Dark,Fine,Pour-over,93.36369044689897,269.7615308259665,0.065,0,4,4.04
Blend,Dark,Medium,Espresso,92.70264419760956,302.02001971256306,0.059,1,4,4.69
Arabica,Light,Medium,French Press,94.95296719542975,231.44044623097963,0.071,2,5,5.43
Robusta,Light,Coarse,Cold Brew,93.14722923855216,246.65808832852224,0.065,4,5,4.25
Arabica,Dark,Coarse,Espresso,90.08678004724605,218.7601217999273,0.059,0,1,5.25
Robusta,Light,Medium,French Press,95.56704959332265,296.8201699195942,0.067,2,2,4.79
Arabica,Medium,Coarse,French Press,89.88436779101066,211.85519748294215,0.064,0,3,5.57
Arabica,Light,Medium,French Press,92.49409348231143,225.4985989960255,0.058,0,2,6.8
Robusta,Medium,Coarse,Cold Brew,93.63049730836802,283.34438615621883,0.064,2,1,3.89
Robusta,Dark,Coarse,French Press,88.22797909871346,275.36403346236716,0.063,5,4,3.11
Blend,Medium,Fine,French Press,94.08428309253962,197.56692816663616,0.057,0,1,3.71
Robusta,Dark,Coarse,French Press,89.38933027356947,288.2251231181135,0.061,1,2,4.23
Arabica,Dark,Coarse,French Press,93.2282402536074,265.51893080603094,0.064,3,0,5.83
Blend,Dark,Coarse,Espresso,91.1940918248381,193.2441493703312,0.07,3,2,5.3
Robusta,Medium,Fine,Pour-over,90.05242602528897,259.2224842964299,0.07,1,0,4.7
Arabica,Medium,Coarse,Cold Brew,89.4993230381622,212.41838715678534,0.069,5,4,5.67
Blend,Light,Medium,French Press,91.322859057292,240.13659004713642,0.06,5,2,6.3
Blend,Light,Fine,Cold Brew,92.26986844438036,270.132170763106,0.064,2,5,4.31
Blend,Dark,Fine,Pour-over,95.55916223664586,230.54588664302563,0.062,5,4,5.13
Arabica,Light,Coarse,French Press,92.58226997869492,282.94526999439086,0.057,1,5,4.46
Robusta,Dark,Fine,Espresso,95.58513988677453,179.072523808649,0.056,1,5,3.36
Robusta,Dark,Fine,French Press,93.13163562519357,302.62096116937363,0.066,1,1,4.06
Blend,Dark,Coarse,Cold Brew,87.65595829875127,152.04776173519673,0.058,4,4,4.05
Robusta,Dark,Medium,Cold Brew,90.51588989324665,211.062527435727,0.058,2,0,4.53
Robusta,Light,Medium,Espresso,93.29252073300124,249.73230656513462,0.069,3,5,5.19
Robusta,Dark,Coarse,Pour-over,96.64762842957892,195.3365678298461,0.067,1,4,2.96
Robusta,Dark,Coarse,Espresso,93.06128833697561,228.48191112388776,0.067,1,3,4.81
Blend,Dark,Medium,Espresso,91.91322534747539,250.78677429588282,0.068,2,5,5.45
Arabica,Dark,Coarse,French Press,90.88937173156025,240.93230403543478,0.068,3,4,5.83
Robusta,Medium,Fine,French Press,87.97617598694514,182.95497869322813,0.064,0,3,4.81
Robusta,Medium,Coarse,Cold Brew,92.38431324473237,212.75793370100476,0.06,2,4,4.51
Blend,Light,Coarse,Espresso,88.46631007105829,202.51911982400298,0.071,5,2,6.08
Blend,Light,Medium,Espresso,94.3574004759525,257.0183024713986,0.068,2,5,5.48
Blend,Dark,Coarse,French Press,93.31014190067101,246.51048315695922,0.056,5,5,3.84
Blend,Dark,Fine,French Press,90.17151325454583,194.1403516960173,0.068,1,3,4.86
Robusta,Medium,Coarse,Cold Brew,89.65857798102397,221.15567310789203,0.061,5,1,5.11
Robusta,Dark,Fine,Cold Brew,94.96664821192705,264.93239226618414,0.059,3,0,4.48
Blend,Light,Fine,Cold Brew,94.64088874775975,299.03413121949137,0.06,3,1,6.26
Arabica,Dark,Coarse,Espresso,95.7955917548711,262.37436834913325,0.065,2,3,7.29
Robusta,Medium,Fine,Pour-over,95.51671774027518,235.9670803925917,0.056,3,1,6.76
Arabica,Dark,Coarse,Cold Brew,97.05694490425749,221.58818223224614,0.065,3,4,6.67
Blend,Medium,Fine,Cold Brew,90.72788425400151,225.86293025056017,0.067,4,4,4.71
Blend,Light,Fine,Cold Brew,91.92693622321706,325.6908143444746,0.064,1,2,5.03
Blend,Medium,Coarse,Cold Brew,92.36009398015479,264.54071890921665,0.057,0,3,4.44
Robusta,Light,Coarse,French Press,95.39375837119321,229.0101001930233,0.066,3,3,5.01
Arabica,Dark,Fine,Espresso,96.74069776205246,278.09173844148836,0.065,1,4,7.28
Arabica,Medium,Coarse,French Press,96.70612703303279,178.2584875265955,0.065,3,5,5.43
Robusta,Light,Medium,French Press,87.91088102434664,213.10042107478864,0.069,0,2,3.41
Blend,Medium,Coarse,Espresso,90.57109807709352,295.5325080573523,0.065,1,3,5.81
Robusta,Dark,Coarse,Espresso,85.0259621825406,211.85210031869576,0.062,5,3,4.12
Arabica,Dark,Coarse,Pour-over,96.83020240608013,174.16893881938728,0.065,3,1,5.96
Robusta,Light,Medium,French Press,89.8591503327777,205.04198618034297,0.069,4,0,3.76
Robusta,Dark,Medium,French Press,90.59689639606432,253.86015526922864,0.071,2,1,3.67
Arabica,Light,Fine,Espresso,92.7625216767386,229.62998229679098,0.06,2,3,7.78
Robusta,Light,Coarse,French Press,89.48483752664634,260.82657682136835,0.058,0,2,4.61
Robusta,Light,Coarse,Espresso,95.66750274466064,288.58037141221394,0.068,3,5,4.26
Blend,Medium,Fine,Pour-over,91.22287356253788,232.14600603660088,0.06,1,0,6.47
Blend,Medium,Fine,Pour-over,92.1558376574219,269.3056030886232,0.061,0,2,6.25
Arabica,Dark,Coarse,French Press,94.74898302410745,253.8595390359197,0.063,2,1,6.26
Blend,Light,Coarse,Pour-over,85.73633289619818,210.69263234969523,0.059,4,5,4.92
Blend,Medium,Coarse,Cold Brew,91.42795279770996,248.69731492718893,0.067,1,2,5.69
Blend,Medium,Fine,Cold Brew,98.0,278.5186211645652,0.065,3,2,6.49
Arabica,Dark,Medium,Cold Brew,92.59269797051715,257.9691373967898,0.066,2,5,6.44
Robusta,Light,Coarse,Espresso,88.56096382094394,252.10541860956133,0.071,5,0,3.75
Robusta,Medium,Coarse,Pour-over,90.99647748092976,248.24763928117306,0.06,2,3,6.1
Robusta,Dark,Medium,Espresso,94.08270023145795,235.53911769364217,0.07,4,0,5.41
Robusta,Dark,Coarse,Pour-over,94.36970024011362,224.3429793325306,0.062,5,5,3.18
Arabica,Medium,Coarse,Espresso,95.49330393797872,293.52460865790727,0.064,2,3,7.56
Blend,Medium,Medium,Cold Brew,98.0,284.4795085524258,0.064,2,3,5.95
Robusta,Medium,Coarse,Espresso,91.30280268049859,258.04381186331915,0.068,0,2,4.64
Arabica,Dark,Medium,French Press,93.86719061156987,242.33605888410673,0.069,3,4,6.55
Arabica,Dark,Fine,French Press,88.4558180501036,234.00048434401097,0.062,5,5,4.67
Robusta,Dark,Fine,Espresso,91.2419429359971,255.6833811880348,0.07,3,4,4.28
Blend,Light,Fine,Cold Brew,91.71426476532396,255.61609375665068,0.064,5,2,5.15
Robusta,Light,Coarse,French Press,92.17338675675566,270.786310053825,0.065,1,3,3.97
Arabica,Medium,Coarse,Pour-over,96.67603973026695,197.65442602411673,0.069,4,0,6.1
Robusta,Medium,Coarse,Pour-over,87.22101879940499,257.61898951841596,0.071,3,5,4.72
Blend,Light,Coarse,Cold Brew,96.09242128992153,245.0089801059163,0.071,5,5,3.86
Robusta,Medium,Fine,Cold Brew,98.0,256.5222613514473,0.068,1,1,5.08
Blend,Light,Fine,Espresso,91.23875995751725,252.6696823521775,0.06,3,1,7.42
Robusta,Medium,Medium,French Press,94.07809797798264,258.3017054479232,0.066,0,1,4.9
Robusta,Light,Coarse,Cold Brew,93.29657795439621,194.31493826815307,0.059,3,1,4.33
Blend,Medium,Coarse,Cold Brew,98.0,164.31263004705332,0.058,4,2,5.65
Blend,Medium,Fine,Cold Brew,98.0,217.70032859968666,0.065,5,0,4.62
Robusta,Dark,Fine,Pour-over,89.5889762960908,305.5646722177627,0.062,0,0,3.84
Blend,Dark,Medium,Espresso,95.61220405665465,267.25184697681885,0.068,3,4,5.79
Arabica,Light,Coarse,Pour-over,88.69766215148995,211.5480550095785,0.061,3,4,5.85
Robusta,Medium,Coarse,French Press,92.1003763129769,215.12726797974435,0.064,5,1,5.28
Arabica,Medium,Fine,Cold Brew,88.71414964371051,269.31900717045926,0.063,5,5,5.7
Arabica,Medium,Fine,Espresso,90.41401398998852,161.9552610060457,0.065,1,3,6.25
Arabica,Light,Medium,Cold Brew,92.33147161609841,255.11845839747497,0.068,1,5,6.16
Blend,Medium,Medium,Espresso,91.09971811628785,239.19924402622286,0.062,3,2,8.06
Arabica,Medium,Coarse,Cold Brew,92.21899026792008,271.2031271886633,0.069,4,3,5.75
Robusta,Dark,Medium,French Press,92.6760282610672,218.90122705544576,0.069,5,3,4.73
Blend,Light,Medium,French Press,88.78821698529319,204.41015592853725,0.061,4,1,5.9
Arabica,Medium,Fine,Cold Brew,94.12426736557003,206.07605202643072,0.063,3,1,6.28
Robusta,Dark,Medium,Espresso,94.50897116898665,241.25067508994698,0.063,5,3,5.19
Arabica,Light,Fine,Espresso,93.39191684877038,222.45651174970817,0.069,5,5,6.56
Robusta,Light,Coarse,French Press,93.70532301876847,263.98376453125974,0.06,0,4,4.16
Blend,Medium,Medium,French Press,92.36067690030264,211.1127476829211,0.061,5,0,7.32
Arabica,Light,Medium,Espresso,96.17062264705194,262.3124122540745,0.058,2,2,6.76
Blend,Medium,Fine,Pour-over,91.084325886936,215.61951191362868,0.056,0,3,5.64
Arabica,Dark,Fine,Cold Brew,92.72560010454062,201.21904441920083,0.07,3,1,6.29
Blend,Medium,Fine,Pour-over,90.62312934252628,173.74268539315398,0.062,4,2,7.12
Blend,Medium,Fine,Espresso,90.31219915503893,215.93665274342894,0.063,1,4,5.45
Blend,Medium,Fine,Espresso,94.64631434672263,190.76897816935676,0.057,3,5,5.92
Robusta,Medium,Coarse,Espresso,89.69069336635737,217.5817960688024,0.067,0,3,4.15
Blend,Medium,Fine,Cold Brew,93.87822927652346,210.68985481240017,0.058,3,3,5.89
Blend,Light,Fine,Espresso,93.41180780232513,269.2045342603894,0.068,5,4,5.7
Arabica,Light,Fine,Espresso,85.4785362312959,187.32177703612567,0.062,4,5,5.83
Robusta,Dark,Coarse,Pour-over,90.29842274356197,224.4232849002785,0.062,5,4,3.81
Arabica,Light,Medium,French Press,93.17541201620764,180.84353724903485,0.056,1,4,5.77
Robusta,Light,Medium,Espresso,91.95407045248102,263.1716599840435,0.057,3,2,6.74
Robusta,Light,Coarse,Cold Brew,91.5244112809191,238.90781841960273,0.058,3,3,4.32
Arabica,Medium,Coarse,Cold Brew,95.27465427294199,261.32056316604553,0.065,4,5,6.0
Blend,Medium,Coarse,French Press,91.6500283705032,258.6018184406073,0.068,4,0,5.65
Arabica,Dark,Fine,French Press,91.73497202297271,276.8539841194598,0.066,1,2,5.34
Arabica,Light,Medium,Cold Brew,91.17281824259803,235.0484164875632,0.07,4,3,6.87
Blend,Medium,Coarse,Pour-over,98.0,245.4614132433095,0.056,0,2,6.22
Arabica,Dark,Medium,French Press,93.72610888157712,142.6439097380786,0.063,3,2,6.56
Blend,Dark,Coarse,Espresso,90.16733032529423,287.78127498025776,0.062,4,5,4.36
Arabica,Dark,Fine,Cold Brew,91.56580804614283,277.9403281486668,0.068,0,0,4.79
Blend,Light,Coarse,Cold Brew,88.24223296290351,219.90150052357532,0.057,5,3,4.91
Blend,Medium,Coarse,Espresso,95.673881261679,216.66568111090606,0.071,4,3,6.03
Arabica,Light,Coarse,French Press,96.36685607024334,311.97086300076,0.067,3,1,5.6
Arabica,Light,Medium,Cold Brew,89.48237099798298,198.20763223915867,0.063,0,1,4.7
Arabica,Dark,Medium,Cold Brew,91.33623912924268,228.92746800444317,0.07,4,2,5.72
Blend,Light,Fine,Pour-over,95.40645504908831,226.00087491382334,0.064,4,4,6.14
Robusta,Light,Medium,Cold Brew,93.11748712937,303.96489340597503,0.058,2,5,3.52
Arabica,Light,Coarse,Pour-over,94.72802005431613,309.1956461807934,0.057,4,3,5.9
